Ratio,Run,Phase,Tree,Metric,Value
20,21,Insert,WAVL Tree,Rotations,6941
20,21,Insert,RB Tree,Path,10336
20,21,Insert,WAVL Tree,Path,17784
20,21,Delete,RB Tree,Rotations,647
20,21,Delete,WAVL Tree,Rotations,629
20,21,Delete,RB Tree,Path,719
20,21,Delete,WAVL Tree,Path,727
20,22,Insert,RB Tree,Rotations,5865
20,22,Insert,WAVL Tree,Rotations,7125
20,22,Insert,RB Tree,Path,10238
20,22,Insert,WAVL Tree,Path,17835
20,22,Delete,RB Tree,Rotations,660
20,22,Delete,WAVL Tree,Rotations,611
20,22,Delete,RB Tree,Path,707
20,22,Delete,WAVL Tree,Path,722
20,23,Insert,RB Tree,Rotations,5923
20,23,Insert,WAVL Tree,Rotations,6989
20,23,Insert,RB Tree,Path,10256
20,23,Insert,WAVL Tree,Path,17917
20,23,Delete,RB Tree,Rotations,658
20,23,Delete,WAVL Tree,Rotations,628
20,23,Delete,RB Tree,Path,708
20,23,Delete,WAVL Tree,Path,758
20,24,Insert,RB Tree,Rotations,5804
20,24,Insert,WAVL Tree,Rotations,6963
20,24,Insert,RB Tree,Path,10234
20,24,Insert,WAVL Tree,Path,17738
20,24,Delete,RB Tree,Rotations,663
20,24,Delete,WAVL Tree,Rotations,586
20,24,Delete,RB Tree,Path,714
20,24,Delete,WAVL Tree,Path,730
20,25,Insert,RB Tree,Rotations,5853
20,25,Insert,WAVL Tree,Rotations,6989
20,25,Insert,RB Tree,Path,10278
20,25,Insert,WAVL Tree,Path,17819
20,25,Delete,RB Tree,Rotations,633
20,25,Delete,WAVL Tree,Rotations,619
20,25,Delete,RB Tree,Path,705
20,25,Delete,WAVL Tree,Path,728
20,26,Insert,RB Tree,Rotations,5877
20,26,Insert,WAVL Tree,Rotations,7030
20,26,Insert,RB Tree,Path,10406
20,26,Insert,WAVL Tree,Path,17938
20,26,Delete,RB Tree,Rotations,653
20,26,Delete,WAVL Tree,Rotations,639
20,26,Delete,RB Tree,Path,732
20,26,Delete,WAVL Tree,Path,740
20,27,Insert,RB Tree,Rotations,5818
20,27,Insert,WAVL Tree,Rotations,6967
20,27,Insert,RB Tree,Path,10234
20,27,Insert,WAVL Tree,Path,17867
20,27,Delete,RB Tree,Rotations,694
20,27,Delete,WAVL Tree,Rotations,636
20,27,Delete,RB Tree,Path,722
20,27,Delete,WAVL Tree,Path,765
20,28,Insert,RB Tree,Rotations,5986
20,28,Insert,WAVL Tree,Rotations,7134
20,28,Insert,RB Tree,Path,10116
20,28,Insert,WAVL Tree,Path,17852
20,28,Delete,RB Tree,Rotations,640
20,28,Delete,WAVL Tree,Rotations,625
20,28,Delete,RB Tree,Path,707
20,28,Delete,WAVL Tree,Path,747
20,29,Insert,RB Tree,Rotations,5810
20,29,Insert,WAVL Tree,Rotations,6997
20,29,Insert,RB Tree,Path,10300
20,29,Insert,WAVL Tree,Path,17790
20,29,Delete,RB Tree,Rotations,689
20,29,Delete,WAVL Tree,Rotations,644
20,29,Delete,RB Tree,Path,735
20,29,Delete,WAVL Tree,Path,693
20,30,Insert,RB Tree,Rotations,5764
20,30,Insert,WAVL Tree,Rotations,6943
20,30,Insert,RB Tree,Path,10230
20,30,Insert,WAVL Tree,Path,17912
20,30,Delete,RB Tree,Rotations,680
20,30,Delete,WAVL Tree,Rotations,653
20,30,Delete,RB Tree,Path,725
20,30,Delete,WAVL Tree,Path,766
20,31,Insert,RB Tree,Rotations,5772
