Ratio,Run,Phase,Tree,Metric,Value_ns
20,4,Delete,RB Tree,Latency,1007
20,4,Delete,WAVL Tree,Latency,1013
20,4,Traversal,RB Tree,Latency,66602427
20,4,Traversal,WAVL Tree,Latency,65736889
20,5,Insert,RB Tree,Latency,1004
20,5,Insert,WAVL Tree,Latency,1043
20,5,Lookup,RB Tree,Latency,1007
20,5,Lookup,WAVL Tree,Latency,1023
20,5,Delete,RB Tree,Latency,1008
20,5,Delete,WAVL Tree,Latency,1013
20,5,Traversal,RB Tree,Latency,63962163
20,5,Traversal,WAVL Tree,Latency,65550902
20,6,Insert,RB Tree,Latency,1004
20,6,Insert,WAVL Tree,Latency,1042
20,6,Lookup,RB Tree,Latency,1007
20,6,Lookup,WAVL Tree,Latency,1024
20,6,Delete,RB Tree,Latency,1008
20,6,Delete,WAVL Tree,Latency,1011
20,6,Traversal,RB Tree,Latency,66988019
20,6,Traversal,WAVL Tree,Latency,68192006
20,7,Insert,RB Tree,Latency,1002
20,7,Insert,WAVL Tree,Latency,1044
20,7,Lookup,RB Tree,Latency,1006
20,7,Lookup,WAVL Tree,Latency,1024
20,7,Delete,RB Tree,Latency,1006
20,7,Delete,WAVL Tree,Latency,1012
20,7,Traversal,RB Tree,Latency,63739300
20,7,Traversal,WAVL Tree,Latency,63283867
20,8,Insert,RB Tree,Latency,1002
20,8,Insert,WAVL Tree,Latency,1043
20,8,Lookup,RB Tree,Latency,1006
20,8,Lookup,WAVL Tree,Latency,1028
20,8,Delete,RB Tree,Latency,1006
20,8,Delete,WAVL Tree,Latency,1010
20,8,Traversal,RB Tree,Latency,64559372
20,8,Traversal,WAVL Tree,Latency,64601137
20,9,Insert,RB Tree,Latency,1002
20,9,Insert,WAVL Tree,Latency,1042
20,9,Lookup,RB Tree,Latency,1007
20,9,Lookup,WAVL Tree,Latency,1022
20,9,Delete,RB Tree,Latency,1008
20,9,Delete,WAVL Tree,Latency,1014
20,9,Traversal,RB Tree,Latency,65097147
20,9,Traversal,WAVL Tree,Latency,65005864
20,10,Insert,RB Tree,Latency,1002
20,10,Insert,WAVL Tree,Latency,1045
20,10,Lookup,RB Tree,Latency,1004
20,10,Lookup,WAVL Tree,Latency,1030
20,10,Delete,RB Tree,Latency,1007
20,10,Delete,WAVL Tree,Latency,1008
20,10,Traversal,RB Tree,Latency,67062608
20,10,Traversal,WAVL Tree,Latency,68661336
20,11,Insert,RB Tree,Latency,1001
20,11,Insert,WAVL Tree,Latency,1042
20,11,Lookup,RB Tree,Latency,1007
20,11,Lookup,WAVL Tree,Latency,1028
20,11,Delete,RB Tree,Latency,1002
20,11,Delete,WAVL Tree,Latency,1008
20,11,Traversal,RB Tree,Latency,66784782
20,11,Traversal,WAVL Tree,Latency,66045516
20,12,Insert,RB Tree,Latency,1000
20,12,Insert,WAVL Tree,Latency,1041
20,12,Lookup,RB Tree,Latency,1005
20,12,Lookup,WAVL Tree,Latency,1020
20,12,Delete,RB Tree,Latency,1008
20,12,Delete,WAVL Tree,Latency,1014
20,12,Traversal,RB Tree,Latency,63996524
20,12,Traversal,WAVL Tree,Latency,65379862
20,13,Insert,RB Tree,Latency,1001
20,13,Insert,WAVL Tree,Latency,1042
20,13,Lookup,RB Tree,Latency,1005
20,13,Lookup,WAVL Tree,Latency,1020
20,13,Delete,RB Tree,Latency,1009
20,13,Delete,WAVL Tree,Latency,1015
20,13,Traversal,RB Tree,Latency,63756132
20,13,Traversal,WAVL Tree,Latency,65090512
20,14,Insert,RB Tree,Latency,1005
20,14,Insert,WAVL Tree,Latency,1042
20,14,Lookup,RB Tree,Latency,1006
20,14,Lookup,WAVL Tree,Latency,1028
20,14,Delete,RB Tree,Latency,1008
