Ratio,Run,Tree,Metric,Value
20,37,RB Tree,Branch Misses,33958802
20,37,WAVL Tree,L1 Misses,31148263
20,37,WAVL Tree,LLC Misses,
20,37,WAVL Tree,Branch Misses,36399319
20,38,RB Tree,L1 Misses,30891409
20,38,RB Tree,LLC Misses,
20,38,RB Tree,Branch Misses,33969680
20,38,WAVL Tree,L1 Misses,31132581
20,38,WAVL Tree,LLC Misses,
20,38,WAVL Tree,Branch Misses,36391244
20,39,RB Tree,L1 Misses,30874637
20,39,RB Tree,LLC Misses,
20,39,RB Tree,Branch Misses,33940525
20,39,WAVL Tree,L1 Misses,29837817
20,39,WAVL Tree,LLC Misses,
20,39,WAVL Tree,Branch Misses,36383550
20,40,RB Tree,L1 Misses,31109112
20,40,RB Tree,LLC Misses,
20,40,RB Tree,Branch Misses,33931817
20,40,WAVL Tree,L1 Misses,31088918
20,40,WAVL Tree,LLC Misses,
20,40,WAVL Tree,Branch Misses,36352391
20,41,RB Tree,L1 Misses,30912416
20,41,RB Tree,LLC Misses,
20,41,RB Tree,Branch Misses,33933578
20,41,WAVL Tree,L1 Misses,31101981
20,41,WAVL Tree,LLC Misses,
20,41,WAVL Tree,Branch Misses,36378553
20,42,RB Tree,L1 Misses,31276624
20,42,RB Tree,LLC Misses,
20,42,RB Tree,Branch Misses,33977044
20,42,WAVL Tree,L1 Misses,31084437
20,42,WAVL Tree,LLC Misses,
20,42,WAVL Tree,Branch Misses,36403038
20,43,RB Tree,L1 Misses,30182252
20,43,RB Tree,LLC Misses,
20,43,RB Tree,Branch Misses,33937831
20,43,WAVL Tree,L1 Misses,32203121
20,43,WAVL Tree,LLC Misses,
20,43,WAVL Tree,Branch Misses,36389003
20,44,RB Tree,L1 Misses,30688442
20,44,RB Tree,LLC Misses,
20,44,RB Tree,Branch Misses,33943247
20,44,WAVL Tree,L1 Misses,31022579
20,44,WAVL Tree,LLC Misses,
20,44,WAVL Tree,Branch Misses,36368485
20,45,RB Tree,L1 Misses,30446749
20,45,RB Tree,LLC Misses,
20,45,RB Tree,Branch Misses,33962426
20,45,WAVL Tree,L1 Misses,30780959
20,45,WAVL Tree,LLC Misses,
20,45,WAVL Tree,Branch Misses,36378119
20,46,RB Tree,L1 Misses,30963503
20,46,RB Tree,LLC Misses,
20,46,RB Tree,Branch Misses,33935624
20,46,WAVL Tree,L1 Misses,31385946
20,46,WAVL Tree,LLC Misses,
20,46,WAVL Tree,Branch Misses,36411065
20,47,RB Tree,L1 Misses,31260638
20,47,RB Tree,LLC Misses,
20,47,RB Tree,Branch Misses,33938965
20,47,WAVL Tree,L1 Misses,31035508
20,47,WAVL Tree,LLC Misses,
20,47,WAVL Tree,Branch Misses,36405076
20,48,RB Tree,L1 Misses,31290201
20,48,RB Tree,LLC Misses,
20,48,RB Tree,Branch Misses,33952347
20,48,WAVL Tree,L1 Misses,30978209
20,48,WAVL Tree,LLC Misses,
20,48,WAVL Tree,Branch Misses,36367928
20,49,RB Tree,L1 Misses,30958995
20,49,RB Tree,LLC Misses,
20,49,RB Tree,Branch Misses,33928856
20,49,WAVL Tree,L1 Misses,31123369
20,49,WAVL Tree,LLC Misses,
20,49,WAVL Tree,Branch Misses,36362603
20,50,RB Tree,L1 Misses,30930676
20,50,RB Tree,LLC Misses,
20,50,RB Tree,Branch Misses,33961283
20,50,WAVL Tree,L1 Misses,31184136
20,50,WAVL Tree,LLC Misses,
20,50,WAVL Tree,Branch Misses,36394298
30,1,RB Tree,L1 Misses,33906426
30,1,RB Tree,LLC Misses,
30,1,RB Tree,Branch Misses,36262301
30,1,WAVL Tree,L1 Misses,34030451
30,1,WAVL Tree,LLC Misses,
30,1,WAVL Tree,Branch Misses,38887976
30,2,RB Tree,L1 Misses,33866731
30,2,RB Tree,LLC Misses,
30,2,RB Tree,Branch Misses,36251117
30,2,WAVL Tree,L1 Misses,33471583
30,2,WAVL Tree,LLC Misses,
30,2,WAVL Tree,Branch Misses,38880305
30,3,RB Tree,L1 Misses,33639997
30,3,RB Tree,LLC Misses,
30,3,RB Tree,Branch Misses,36249504
30,3,WAVL Tree,L1 Misses,33747856
30,3,WAVL Tree,LLC Misses,
30,3,WAVL Tree,Branch Misses,38868612
30,4,RB Tree,L1 Misses,33228289
30,4,RB Tree,LLC Misses,
30,4,RB Tree,Branch Misses,36246009
30,4,WAVL Tree,L1 Misses,33416658
30,4,WAVL Tree,LLC Misses,
30,4,WAVL Tree,Branch Misses,38833055
30,5,RB Tree,L1 Misses,33598088
30,5,RB Tree,LLC Misses,
30,5,RB Tree,Branch Misses,36238092
30,5,WAVL Tree,L1 Misses,33459801
30,5,WAVL Tree,LLC Misses,
30,5,WAVL Tree,Branch Misses,38872423
30,6,RB Tree,L1 Misses,33667425
30,6,RB Tree,LLC Misses,
