Mode,N,D,Phase,RB_Latency_ns,WAVL_Latency_ns
reverse,1000000,550000,Delete,49,57
reverse,1000000,550000,Traversal,12367653,11623673
reverse,1000000,570000,Lookup,43,43
reverse,1000000,570000,Delete,49,57
reverse,1000000,570000,Traversal,12021287,11139025
reverse,1000000,590000,Lookup,43,42
reverse,1000000,590000,Delete,49,57
reverse,1000000,590000,Traversal,11415840,10784694
reverse,1000000,610000,Lookup,43,42
reverse,1000000,610000,Delete,49,57
reverse,1000000,610000,Traversal,10754065,9965992
reverse,1000000,630000,Lookup,43,42
reverse,1000000,630000,Delete,49,57
reverse,1000000,630000,Traversal,10298633,9452330
reverse,1000000,650000,Lookup,43,43
reverse,1000000,650000,Delete,49,57
reverse,1000000,650000,Traversal,9884007,8828347
reverse,1000000,670000,Lookup,43,42
reverse,1000000,670000,Delete,49,57
reverse,1000000,670000,Traversal,9198569,8179899
reverse,1000000,690000,Lookup,42,42
reverse,1000000,690000,Delete,49,57
reverse,1000000,690000,Traversal,8604684,7466146
reverse,1000000,710000,Lookup,42,42
reverse,1000000,710000,Delete,49,57
reverse,1000000,710000,Traversal,8237287,6851632
reverse,1000000,730000,Lookup,42,42
reverse,1000000,730000,Delete,49,57
reverse,1000000,730000,Traversal,7615259,5965784
reverse,1000000,750000,Lookup,42,42
reverse,1000000,750000,Delete,49,57
reverse,1000000,750000,Traversal,7107656,5101846
reverse,1000000,770000,Lookup,42,42
reverse,1000000,770000,Delete,49,57
reverse,1000000,770000,Traversal,6619572,4749068
reverse,1000000,790000,Lookup,42,42
reverse,1000000,790000,Delete,49,57
reverse,1000000,790000,Traversal,5973138,3102258
reverse,1000000,810000,Lookup,42,42
reverse,1000000,810000,Delete,49,57
reverse,1000000,810000,Traversal,5486445,2893803
reverse,1000000,830000,Lookup,42,42
reverse,1000000,830000,Delete,49,57
reverse,1000000,830000,Traversal,4977141,2217411
reverse,1000000,850000,Lookup,42,42
reverse,1000000,850000,Delete,49,57
reverse,1000000,850000,Traversal,4173457,1448435
reverse,1000000,870000,Lookup,42,42
reverse,1000000,870000,Delete,49,57
reverse,1000000,870000,Traversal,3802825,1265709
reverse,1000000,890000,Lookup,42,42
reverse,1000000,890000,Delete,49,57
reverse,1000000,890000,Traversal,3109561,1042264
reverse,1000000,910000,Lookup,42,42
reverse,1000000,910000,Delete,49,57
reverse,1000000,910000,Traversal,2546946,788734
reverse,1000000,930000,Lookup,42,42
reverse,1000000,930000,Delete,49,57
reverse,1000000,930000,Traversal,2056968,636947
reverse,1000000,950000,Lookup,42,42
reverse,1000000,950000,Delete,49,57
reverse,1000000,950000,Traversal,1427575,437549
reverse,1000000,970000,Lookup,42,41
reverse,1000000,970000,Delete,49,57
reverse,1000000,970000,Traversal,831025,261014
reverse,1000000,990000,Lookup,42,42
reverse,1000000,990000,Delete,49,57
reverse,1000000,990000,Traversal,293466,89610
seq_rev,1000000,10000,Lookup,50,43
seq_rev,1000000,10000,Delete,39,48
seq_rev,1000000,10000,Traversal,27344160,27233040
seq_rev,1000000,30000,Lookup,49,43
seq_rev,1000000,30000,Delete,39,48
seq_rev,1000000,30000,Traversal,26481556,26376777
seq_rev,1000000,50000,Lookup,48,43
seq_rev,1000000,50000,Delete,39,49
seq_rev,1000000,50000,Traversal,26188601,26137183
seq_rev,1000000,70000,Lookup,48,44
seq_rev,1000000,70000,Delete,41,50
seq_rev,1000000,70000,Traversal,25270471,25178888
seq_rev,1000000,90000,Lookup,47,43
seq_rev,1000000,90000,Delete,41,50
seq_rev,1000000,90000,Traversal,25348279,25081193
seq_rev,1000000,110000,Lookup,47,43
seq_rev,1000000,110000,Delete,42,51
seq_rev,1000000,110000,Traversal,24362490,24373852
seq_rev,1000000,130000,Lookup,46,43
seq_rev,1000000,130000,Delete,45,52
seq_rev,1000000,130000,Traversal,24169595,24054928
seq_rev,1000000,150000,Lookup,46,43
seq_rev,1000000,150000,Delete,44,52
seq_rev,1000000,150000,Traversal,23345785,23101852
seq_rev,1000000,170000,Lookup,46,43
seq_rev,1000000,170000,Delete,44,52
seq_rev,1000000,170000,Traversal,23294757,22816872
seq_rev,1000000,190000,Lookup,46,43
seq_rev,1000000,190000,Delete,44,52
seq_rev,1000000,190000,Traversal,22284324,21963115
seq_rev,1000000,210000,Lookup,46,43
seq_rev,1000000,210000,Delete,45,53
seq_rev,1000000,210000,Traversal,22206215,21773344
seq_rev,1000000,230000,Lookup,45,43
seq_rev,1000000,230000,Delete,45,53
seq_rev,1000000,230000,Traversal,21290480,20903547
seq_rev,1000000,250000,Lookup,45,43
seq_rev,1000000,250000,Delete,45,53
seq_rev,1000000,250000,Traversal,21050776,20697316
seq_rev,1000000,270000,Lookup,45,42
seq_rev,1000000,270000,Delete,45,53
seq_rev,1000000,270000,Traversal,20078153,19586081
seq_rev,1000000,290000,Lookup,45,43
seq_rev,1000000,290000,Delete,47,55
seq_rev,1000000,290000,Traversal,19871231,19424855
seq_rev,1000000,310000,Lookup,45,42
seq_rev,1000000,310000,Delete,46,54
seq_rev,1000000,310000,Traversal,19011733,18611064
seq_rev,1000000,330000,Lookup,45,44
seq_rev,1000000,330000,Delete,49,56
seq_rev,1000000,330000,Traversal,18873781,18627795
seq_rev,1000000,350000,Lookup,45,43
seq_rev,1000000,350000,Delete,47,54
seq_rev,1000000,350000,Traversal,18063465,17763367
seq_rev,1000000,370000,Lookup,44,42
seq_rev,1000000,370000,Delete,47,54
seq_rev,1000000,370000,Traversal,17751224,17378498
seq_rev,1000000,390000,Lookup,45,43
seq_rev,1000000,390000,Delete,49,56
seq_rev,1000000,390000,Traversal,16890574,16389314
seq_rev,1000000,410000,Lookup,44,42
seq_rev,1000000,410000,Delete,47,54
seq_rev,1000000,410000,Traversal,16678271,16149559
seq_rev,1000000,430000,Lookup,44,42
seq_rev,1000000,430000,Delete,47,54
seq_rev,1000000,430000,Traversal,15782604,15191163
seq_rev,1000000,450000,Lookup,44,42
seq_rev,1000000,450000,Delete,48,55
seq_rev,1000000,450000,Traversal,15430587,14876397
seq_rev,1000000,470000,Lookup,44,42
seq_rev,1000000,470000,Delete,48,55
seq_rev,1000000,470000,Traversal,14528599,13984487
