Ratio,Run,Phase,Tree,Metric,Value_ns
20,8,Delete,RB Tree,Latency,54
20,8,Delete,WAVL Tree,Latency,62
20,8,Traversal,RB Tree,Latency,113856
20,8,Traversal,WAVL Tree,Latency,109858
20,9,Insert,RB Tree,Latency,108
20,9,Insert,WAVL Tree,Latency,126
20,9,Lookup,RB Tree,Latency,95
20,9,Lookup,WAVL Tree,Latency,100
20,9,Delete,RB Tree,Latency,55
20,9,Delete,WAVL Tree,Latency,63
20,9,Traversal,RB Tree,Latency,111932
20,9,Traversal,WAVL Tree,Latency,109197
20,10,Insert,RB Tree,Latency,113
20,10,Insert,WAVL Tree,Latency,128
20,10,Lookup,RB Tree,Latency,98
20,10,Lookup,WAVL Tree,Latency,101
20,10,Delete,RB Tree,Latency,54
20,10,Delete,WAVL Tree,Latency,62
20,10,Traversal,RB Tree,Latency,115839
20,10,Traversal,WAVL Tree,Latency,110921
20,11,Insert,RB Tree,Latency,111
20,11,Insert,WAVL Tree,Latency,127
20,11,Lookup,RB Tree,Latency,110
20,11,Lookup,WAVL Tree,Latency,105
20,11,Delete,RB Tree,Latency,57
20,11,Delete,WAVL Tree,Latency,63
20,11,Traversal,RB Tree,Latency,182966
20,11,Traversal,WAVL Tree,Latency,113325
20,12,Insert,RB Tree,Latency,108
20,12,Insert,WAVL Tree,Latency,127
20,12,Lookup,RB Tree,Latency,96
20,12,Lookup,WAVL Tree,Latency,96
20,12,Delete,RB Tree,Latency,54
20,12,Delete,WAVL Tree,Latency,63
20,12,Traversal,RB Tree,Latency,113185
20,12,Traversal,WAVL Tree,Latency,111171
20,13,Insert,RB Tree,Latency,113
20,13,Insert,WAVL Tree,Latency,127
20,13,Lookup,RB Tree,Latency,97
20,13,Lookup,WAVL Tree,Latency,98
20,13,Delete,RB Tree,Latency,55
20,13,Delete,WAVL Tree,Latency,62
20,13,Traversal,RB Tree,Latency,113335
20,13,Traversal,WAVL Tree,Latency,110159
20,14,Insert,RB Tree,Latency,107
20,14,Insert,WAVL Tree,Latency,125
20,14,Lookup,RB Tree,Latency,95
20,14,Lookup,WAVL Tree,Latency,97
20,14,Delete,RB Tree,Latency,53
20,14,Delete,WAVL Tree,Latency,61
20,14,Traversal,RB Tree,Latency,111742
20,14,Traversal,WAVL Tree,Latency,111040
20,15,Insert,RB Tree,Latency,110
20,15,Insert,WAVL Tree,Latency,126
20,15,Lookup,RB Tree,Latency,95
20,15,Lookup,WAVL Tree,Latency,98
20,15,Delete,RB Tree,Latency,54
20,15,Delete,WAVL Tree,Latency,62
20,15,Traversal,RB Tree,Latency,112934
20,15,Traversal,WAVL Tree,Latency,109838
20,16,Insert,RB Tree,Latency,109
20,16,Insert,WAVL Tree,Latency,130
20,16,Lookup,RB Tree,Latency,96
20,16,Lookup,WAVL Tree,Latency,97
20,16,Delete,RB Tree,Latency,54
20,16,Delete,WAVL Tree,Latency,62
20,16,Traversal,RB Tree,Latency,116811
20,16,Traversal,WAVL Tree,Latency,110289
20,17,Insert,RB Tree,Latency,108
20,17,Insert,WAVL Tree,Latency,125
20,17,Lookup,RB Tree,Latency,94
20,17,Lookup,WAVL Tree,Latency,95
20,17,Delete,RB Tree,Latency,53
20,17,Delete,WAVL Tree,Latency,63
20,17,Traversal,RB Tree,Latency,112323
20,17,Traversal,WAVL Tree,Latency,111040
20,18,Insert,RB Tree,Latency,107
20,18,Insert,WAVL Tree,Latency,125
20,18,Lookup,RB Tree,Latency,96
20,18,Lookup,WAVL Tree,Latency,97
20,18,Delete,RB Tree,Latency,55
20,18,Delete,WAVL Tree,Latency,62
20,18,Traversal,RB Tree,Latency,111972
20,18,Traversal,WAVL Tree,Latency,108335
20,19,Insert,RB Tree,Latency,109
20,19,Insert,WAVL Tree,Latency,126
20,19,Lookup,RB Tree,Latency,95
20,19,Lookup,WAVL Tree,Latency,97
20,19,Delete,RB Tree,Latency,54
20,19,Delete,WAVL Tree,Latency,62
20,19,Traversal,RB Tree,Latency,113275
20,19,Traversal,WAVL Tree,Latency,110529
20,20,Insert,RB Tree,Latency,109
20,20,Insert,WAVL Tree,Latency,126
20,20,Lookup,RB Tree,Latency,95
20,20,Lookup,WAVL Tree,Latency,98
20,20,Delete,RB Tree,Latency,54
20,20,Delete,WAVL Tree,Latency,61
20,20,Traversal,RB Tree,Latency,112643
20,20,Traversal,WAVL Tree,Latency,110349
20,21,Insert,RB Tree,Latency,113
20,21,Insert,WAVL Tree,Latency,135
20,21,Lookup,RB Tree,Latency,106
20,21,Lookup,WAVL Tree,Latency,105
20,21,Delete,RB Tree,Latency,59
20,21,Delete,WAVL Tree,Latency,66
20,21,Traversal,RB Tree,Latency,114226
20,21,Traversal,WAVL Tree,Latency,110710
20,22,Insert,RB Tree,Latency,108
20,22,Insert,WAVL Tree,Latency,128
20,22,Lookup,RB Tree,Latency,95
20,22,Lookup,WAVL Tree,Latency,100
20,22,Delete,RB Tree,Latency,54
20,22,Delete,WAVL Tree,Latency,62
20,22,Traversal,RB Tree,Latency,113986
20,22,Traversal,WAVL Tree,Latency,111050
20,23,Insert,RB Tree,Latency,108
20,23,Insert,WAVL Tree,Latency,129
20,23,Lookup,RB Tree,Latency,96
20,23,Lookup,WAVL Tree,Latency,97
20,23,Delete,RB Tree,Latency,55
20,23,Delete,WAVL Tree,Latency,62
20,23,Traversal,RB Tree,Latency,112413
20,23,Traversal,WAVL Tree,Latency,109217
20,24,Insert,RB Tree,Latency,108
20,24,Insert,WAVL Tree,Latency,125
20,24,Lookup,RB Tree,Latency,96
20,24,Lookup,WAVL Tree,Latency,96
20,24,Delete,RB Tree,Latency,54
20,24,Delete,WAVL Tree,Latency,62
20,24,Traversal,RB Tree,Latency,114748
20,24,Traversal,WAVL Tree,Latency,110659
20,25,Insert,RB Tree,Latency,112
20,25,Insert,WAVL Tree,Latency,127
20,25,Lookup,RB Tree,Latency,95
20,25,Lookup,WAVL Tree,Latency,96
20,25,Delete,RB Tree,Latency,54
20,25,Delete,WAVL Tree,Latency,61
20,25,Traversal,RB Tree,Latency,124085
20,25,Traversal,WAVL Tree,Latency,114366
20,26,Insert,RB Tree,Latency,108
20,26,Insert,WAVL Tree,Latency,127
20,26,Lookup,RB Tree,Latency,95
20,26,Lookup,WAVL Tree,Latency,96
20,26,Delete,RB Tree,Latency,54
20,26,Delete,WAVL Tree,Latency,63
20,26,Traversal,RB Tree,Latency,114016
20,26,Traversal,WAVL Tree,Latency,110890
20,27,Insert,RB Tree,Latency,108
20,27,Insert,WAVL Tree,Latency,127
20,27,Lookup,RB Tree,Latency,97
20,27,Lookup,WAVL Tree,Latency,98
20,27,Delete,RB Tree,Latency,57
20,27,Delete,WAVL Tree,Latency,62
20,27,Traversal,RB Tree,Latency,114687
20,27,Traversal,WAVL Tree,Latency,110810
20,28,Insert,RB Tree,Latency,108
20,28,Insert,WAVL Tree,Latency,126
20,28,Lookup,RB Tree,Latency,95
20,28,Lookup,WAVL Tree,Latency,97
20,28,Delete,RB Tree,Latency,54
20,28,Delete,WAVL Tree,Latency,61
20,28,Traversal,RB Tree,Latency,113826
20,28,Traversal,WAVL Tree,Latency,110369
20,29,Insert,RB Tree,Latency,109
20,29,Insert,WAVL Tree,Latency,126
20,29,Lookup,RB Tree,Latency,97
20,29,Lookup,WAVL Tree,Latency,96
20,29,Delete,RB Tree,Latency,54
20,29,Delete,WAVL Tree,Latency,62
20,29,Traversal,RB Tree,Latency,114477
20,29,Traversal,WAVL Tree,Latency,112143
20,30,Insert,RB Tree,Latency,111
20,30,Insert,WAVL Tree,Latency,126
20,30,Lookup,RB Tree,Latency,96
20,30,Lookup,WAVL Tree,Latency,101
20,30,Delete,RB Tree,Latency,54
