Mode,Ratio,Run,Tree,Metric,Value
seq,50,17,RB Tree,L1 Misses,2712161
seq,50,17,RB Tree,LLC Misses,
seq,50,17,RB Tree,Branch Misses,22870578
seq,50,17,WAVL Tree,L1 Misses,2980119
seq,50,17,WAVL Tree,Branch Misses,26579290
seq,50,18,RB Tree,L1 Misses,2746414
seq,50,18,RB Tree,LLC Misses,
seq,50,18,RB Tree,Branch Misses,22902717
seq,50,18,WAVL Tree,L1 Misses,2646249
seq,50,18,WAVL Tree,Branch Misses,26602867
seq,50,19,RB Tree,L1 Misses,2757204
seq,50,19,RB Tree,LLC Misses,
seq,50,19,RB Tree,Branch Misses,23075779
seq,50,19,WAVL Tree,L1 Misses,2650956
seq,50,19,WAVL Tree,Branch Misses,26601441
seq,50,20,RB Tree,L1 Misses,2810210
seq,50,20,RB Tree,LLC Misses,
seq,50,20,RB Tree,Branch Misses,23045728
seq,50,20,WAVL Tree,L1 Misses,2617513
seq,50,20,WAVL Tree,Branch Misses,26610955
seq,60,1,RB Tree,L1 Misses,2730051
seq,60,1,RB Tree,LLC Misses,
seq,60,1,RB Tree,Branch Misses,24008788
seq,60,1,WAVL Tree,L1 Misses,2613333
seq,60,1,WAVL Tree,Branch Misses,27863371
seq,60,2,RB Tree,L1 Misses,2793894
seq,60,2,RB Tree,LLC Misses,
seq,60,2,RB Tree,Branch Misses,23953306
seq,60,2,WAVL Tree,L1 Misses,2624525
seq,60,2,WAVL Tree,Branch Misses,27850369
seq,60,3,RB Tree,L1 Misses,2803000
seq,60,3,RB Tree,LLC Misses,
seq,60,3,RB Tree,Branch Misses,24243063
seq,60,3,WAVL Tree,L1 Misses,2756219
seq,60,3,WAVL Tree,Branch Misses,27856753
seq,60,4,RB Tree,L1 Misses,2847240
seq,60,4,RB Tree,LLC Misses,
seq,60,4,RB Tree,Branch Misses,24163210
seq,60,4,WAVL Tree,L1 Misses,2760258
seq,60,4,WAVL Tree,Branch Misses,27853987
seq,60,5,RB Tree,L1 Misses,3095921
seq,60,5,RB Tree,LLC Misses,
seq,60,5,RB Tree,Branch Misses,23964898
seq,60,5,WAVL Tree,L1 Misses,2875310
seq,60,5,WAVL Tree,Branch Misses,27845358
seq,60,6,RB Tree,L1 Misses,3893167
seq,60,6,RB Tree,LLC Misses,
seq,60,6,RB Tree,Branch Misses,24028043
seq,60,6,WAVL Tree,L1 Misses,4306118
seq,60,6,WAVL Tree,Branch Misses,27831556
seq,60,7,RB Tree,L1 Misses,2778253
seq,60,7,RB Tree,LLC Misses,
seq,60,7,RB Tree,Branch Misses,24198363
seq,60,7,WAVL Tree,L1 Misses,2557017
seq,60,7,WAVL Tree,Branch Misses,27839757
seq,60,8,RB Tree,L1 Misses,2739310
seq,60,8,RB Tree,LLC Misses,
seq,60,8,RB Tree,Branch Misses,24092684
seq,60,8,WAVL Tree,L1 Misses,2592330
seq,60,8,WAVL Tree,Branch Misses,27852464
seq,60,9,RB Tree,L1 Misses,2726778
seq,60,9,RB Tree,LLC Misses,
seq,60,9,RB Tree,Branch Misses,24059462
seq,60,9,WAVL Tree,L1 Misses,2758845
seq,60,9,WAVL Tree,Branch Misses,27851236
seq,60,10,RB Tree,L1 Misses,2846243
seq,60,10,RB Tree,LLC Misses,
seq,60,10,RB Tree,Branch Misses,24027040
seq,60,10,WAVL Tree,L1 Misses,2621961
seq,60,10,WAVL Tree,Branch Misses,27835373
seq,60,11,RB Tree,L1 Misses,2795747
seq,60,11,RB Tree,LLC Misses,
seq,60,11,RB Tree,Branch Misses,24084223
seq,60,11,WAVL Tree,L1 Misses,2562678
seq,60,11,WAVL Tree,Branch Misses,27829859
seq,60,12,RB Tree,L1 Misses,2707586
seq,60,12,RB Tree,LLC Misses,
seq,60,12,RB Tree,Branch Misses,24028042
seq,60,12,WAVL Tree,L1 Misses,2615654
seq,60,12,WAVL Tree,Branch Misses,27811882
seq,60,13,RB Tree,L1 Misses,2700741
seq,60,13,RB Tree,LLC Misses,
seq,60,13,RB Tree,Branch Misses,23954923
seq,60,13,WAVL Tree,L1 Misses,2588469
seq,60,13,WAVL Tree,Branch Misses,27818227
seq,60,14,RB Tree,L1 Misses,2694909
seq,60,14,RB Tree,LLC Misses,
seq,60,14,RB Tree,Branch Misses,24028761
seq,60,14,WAVL Tree,L1 Misses,2584128
seq,60,14,WAVL Tree,Branch Misses,27790811
seq,60,15,RB Tree,L1 Misses,2747356
seq,60,15,RB Tree,LLC Misses,
seq,60,15,RB Tree,Branch Misses,23968406
